Category,Specific_Promise,Target_Deadline,Responsible_Entity
Anti-Corruption,Form a committee to investigate properties and assets of senior political officeholders active post-2006,15 Days,Prime Minister's Office
Anti-Corruption,Initiate Phase II probe into the assets of officials holding office between 1990 and 2006,Sequential to Phase I,High-level investigation committee
Governance,Draft and finalize the Federal Civil Service Bill,45 Days,Ministry of Federal Affairs
Governance,Implement blanket ban on political party affiliations for civil servants and teachers,Immediate,Council of Ministers
Governance,Abolish all partisan trade unions within the public sector,Immediate,Council of Ministers
Public Procurement,Amend Public Procurement Act 2007 to control delays and cost overruns,30 Days,Parliament
Public Procurement,Transition to quality-based evaluation and life-cycle costing via e-government marketplace,Following Act amendment,Relevant Ministries
Infrastructure,Develop a ranked national-level project pipeline based on economic viabilities,60 Days,National Planning Commission
Infrastructure,Form specialized study team to assess feasibility of sick projects and terminated contracts,30 Days,Specialized Task Force
Infrastructure,Complete all long-stalled national pride projects,2 Years,Ministry of Physical Infrastructure
Economic Policy,Prepare a comprehensive national economic status report,5 Days,Ministry of Finance
Economic Policy,Dissolve the Revenue Investigation Department to curtail arbitrary enforcement,Immediate,Ministry of Finance
Economic Policy,Initiate amendment or repeal of 15 existing economic and financial laws,Immediate,Ministry of Finance / Parliament
Economic Policy,Return financial deposits of small savers trapped in failing cooperative institutions,100 Days,Ministry of Finance
Macroeconomic Targets,Expand the national economy to approximately Rs 10 trillion,5-Year Term,Cross-ministerial coordination
Macroeconomic Targets,Achieve and maintain an average annual economic growth rate of 7 percent,5-Year Term,Cross-ministerial coordination
Macroeconomic Targets,Raise national per capita income above the $3000 threshold,5-Year Term,Cross-ministerial coordination
Macroeconomic Targets,Conduct formal macroeconomic review of the Nepali Rupee fixed exchange rate peg to Indian Rupee,Unspecified,Central Bank / Ministry of Finance
Digital Transformation,Shift the government toward paperless and cashless operational systems starting with Finance,Phased,Ministry of Finance
Education,Abolish all party-affiliated student organizations replacing them with Student Councils,90 Days,Ministry of Education / Universities
Education,Discontinue internal examinations for students up to Grade 5 to reduce psychological stress,Upcoming Academic Session,Ministry of Education
Education,Enforce fixed academic calendars across all universities for exam results,Immediate,Universities
Education,Allow students to pursue bachelor degrees without mandatory presentation of citizenship certificates,Immediate,Universities
Health & Social,Strictly enforce provision requiring hospitals to allocate 10 percent of beds free of charge,Immediate,Ministry of Health
Transport & Social,Introduce free Blue Bus public transportation services designated for women (25 buses initially),100 Days,Ministry of Transport / Provinces
Labor,Guarantee 100 days of state employment or equivalent unemployment benefits for citizens aged 21 to 30,5-Year Term,Ministry of Labor
Electoral Rights,Introduce constitutional right to reject (NOTA) and right to recall elected officials,Legislative Cycle,Ministry of Law and Justice
Electoral Rights,Legalize and implement out-of-country voting rights for the Nepali diaspora,Legislative Cycle,Election Commission / Parliament
Electoral Rights,Support dual citizenship rights and grant citizenship by descent up to three generations,Legislative Cycle,Parliament
Energy,Achieve full domestic energy self-sufficiency and substantially expand national hydropower,5-Year Term,Energy Ministry
Tourism,Increase annual tourism revenue fivefold to Rs 300 billion,5-Year Term,Ministry of Tourism
Environment,Make Nepal a carbon-negative country,5-Year Term,Ministry of Environment
